id,cluster,species,gear,area
B-5-B,4,B,5,B
B-6-B,1,B,6,B
B-26-B,2,B,26,B
C-5-E,3,C,5,E
C-6-A,1,C,6,A
C-6-B,1,C,6,B
C-6-C,1,C,6,C
C-9-B,2,C,9,B
D-9-A,1,D,9,A
D-9-H,3,D,9,H
D-9-J,2,D,9,J
D-9-M,2,D,9,M
E-91-QV,7,E,91,QV
F-4-B,4,F,4,B
G-1-A,3,G,1,A
G-1-E,3,G,1,E
G-1-H,3,G,1,H
G-1-K,2,G,1,K
G-1-M,2,G,1,M
G-1-T,2,G,1,T
G-2-Z,1,G,2,Z
G-34-A,1,G,34,A
G-34-E,3,G,34,E
G-34-H,3,G,34,H
G-34-K,2,G,34,K
G-34-N,4,G,34,N
G-34-S,4,G,34,S
G-34-T,4,G,34,T
G-34-U,4,G,34,U
G-34-V,4,G,34,V
G-34-W,4,G,34,W
G-34-Y,4,G,34,Y
G-34-Z,4,G,34,Z
H-1-A,1,H,1,A
H-1-M,2,H,1,M
I-5-B,1,I,5,B
I-6-B,1,I,6,B
I-25-B,1,I,25,B
I-26-B,2,I,26,B
J-11-A,5,J,11,A
K-9-O,2,K,9,O
K-9-OA,2,K,9,OA
K-9-Q,2,K,9,Q
K-9-T,2,K,9,T
K-9-TA,2,K,9,TA
K-9-Z,4,K,9,Z
K-9-ZE,4,K,9,ZE
K-19-A,1,K,19,A
K-29-A,1,K,29,A
K-39-A,1,K,39,A
K-49-A,1,K,49,A
K-59-A,1,K,59,A
K-69-A,1,K,69,A
L-12-T,4,L,12,T
L-21-A,1,L,21,A
L-21-C,1,L,21,C
L-21-E,3,L,21,E
M-5-B,1,M,5,B
M-6-B,1,M,6,B
M-7-B,2,M,7,B
M-9-B,2,M,9,B
M-25-B,1,M,25,B
M-26-B,2,M,26,B
O-9-B,2,O,9,B
P-9-A,1,P,9,A
P-9-D,1,P,9,D
P-9-E,3,P,9,E
P-9-J,2,P,9,J
P-17-A,1,P,17,A
Q-11-A,5,Q,11,A
Q-11-B,5,Q,11,B
Q-11-K,5,Q,11,K
R-18-B,3,R,18,B
S-1-A,1,S,1,A
S-1-E,3,S,1,E
S-1-H,3,S,1,H
S-1-K,2,S,1,K
S-1-L,2,S,1,L
S-1-M,2,S,1,M
S-2-K,2,S,2,K
S-3-A,1,S,3,A
S-3-E,3,S,3,E
S-3-H,1,S,3,H
S-3-M,2,S,3,M
S-3-T,4,S,3,T
S-4-D,1,S,4,D
S-4-E,3,S,4,E
S-4-H,3,S,4,H
S-4-K,2,S,4,K
S-4-M,2,S,4,M
S-4-P,4,S,4,P
S-4-T,4,S,4,T
S-4-W,4,S,4,W
S-4-X,4,S,4,X
S-4-Y,4,S,4,Y
S-4-Z,4,S,4,Z
S-5-B,1,S,5,B
S-8-P,4,S,8,P
S-15-B,1,S,15,B
T-9-L,2,T,9,L
T-9-M,2,T,9,M
T-9-O,2,T,9,O
T-9-Q,2,T,9,Q
T-9-QA,2,T,9,QA
T-10-A,1,T,10,A
T-19-A,1,T,19,A
TB-9-AK,2,TB,9,AK
U-11-A,5,U,11,A
W-22-B,1,W,22,B
W-22-BV,6,W,22,BV
Y-5-A,1,Y,5,A
Y-6-A,1,Y,6,A
Y-26-A,1,Y,26,A
