id,cluster,species,gear,area,x,y
B-5-B,4,B,5,B,,
B-6-B,1,B,6,B,,
B-26-B,2,B,26,B,,
C-5-E,3,C,5,E,71.63268471,37.10858826
C-6-A,1,C,6,A,75.41159239,30.62647574
C-6-B,1,C,6,B,,
C-6-C,1,C,6,C,95.55603144,43.95635092
C-9-B,2,C,9,B,,
D-9-A,1,D,9,A,76.35640809,38.28214734
D-9-H,3,D,9,H,62.04998108,33.96763342
D-9-J,2,D,9,J,10.49052681,44.3464995
D-9-M,2,D,9,M,29.28581688,51.2253187
E-91-QV,7,E,91,QV,39.08956319,8.949376076
F-4-B,4,F,4,B,,
G-1-A,3,G,1,A,80.97752661,40.8669274
G-1-E,3,G,1,E,67.28928592,35.54286507
G-1-H,3,G,1,H,64.34965666,30.97052711
G-1-K,2,G,1,K,60.79589141,43.74457888
G-1-M,2,G,1,M,39.42905052,50.316506
G-1-T,2,G,1,T,50.87648956,42.19107906
G-2-Z,1,G,2,Z,48.65326075,24.03592647
G-34-A,1,G,34,A,88.59096247,46.8221038
G-34-E,3,G,34,E,62.54087006,39.09704634
G-34-H,3,G,34,H,63.89989805,32.58370572
G-34-K,2,G,34,K,57.06682807,42.80189332
G-34-N,4,G,34,N,41.80044928,29.30965247
G-34-S,4,G,34,S,46.0948981,37.92190478
G-34-T,4,G,34,T,43.90509701,39.75286269
G-34-U,4,G,34,U,38.77411777,30.77458438
G-34-V,4,G,34,V,42.80636447,34.69771716
G-34-W,4,G,34,W,46.38569321,36.10692877
G-34-Y,4,G,34,Y,40.00080979,27.20760943
G-34-Z,4,G,34,Z,48.1215359,19.72008635
H-1-A,1,H,1,A,86.34161968,46.14170223
H-1-M,2,H,1,M,41.00400491,49.97046778
I-25-B,1,I,25,B,,
I-26-B,2,I,26,B,,
I-5-B,1,I,5,B,,
I-6-B,1,I,6,B,,
J-11-A,5,J,11,A,81.77006446,45.74559114
K-9-O,2,K,9,O,33.89088184,49.07449795
K-9-OA,2,K,9,OA,36.37732559,45.61990799
K-9-Q,2,K,9,Q,12.93869754,45.56088186
K-9-T,2,K,9,T,38.08760138,44.83973232
K-9-TA,2,K,9,TA,34.7314436,45.68265104
K-9-Z,4,K,9,Z,50.2357382,22.00849664
K-9-ZE,4,K,9,ZE,46.94139243,21.69095617
K-19-A,1,K,19,A,83.63782592,31.67698327
K-29-A,1,K,29,A,93.13642736,39.11507916
K-39-A,1,K,39,A,92.64759548,41.99034226
K-49-A,1,K,49,A,89.47599278,43.21416741
K-59-A,1,K,59,A,91.38814421,37.37923952
K-69-A,1,K,69,A,86.89309801,43.66967191
L-12-T,4,L,12,T,51.63478972,40.06843766
L-21-A,1,L,21,A,88.64411131,35.5786204
L-21-C,1,L,21,C,92.10530364,46.32329681
L-21-E,3,L,21,E,72.08252997,34.59984394
M-5-B,1,M,5,B,,
M-6-B,1,M,6,B,,
M-7-B,2,M,7,B,,
M-9-B,2,M,9,B,,
M-25-B,1,M,25,B,,
M-26-B,2,M,26,B,,
O-9-B,2,O,9,B,,
P-9-A,1,P,9,A,84.34433058,40.46841962
P-9-D,1,P,9,D,76.02951194,34.69693071
P-9-E,3,P,9,E,65.49335461,36.93680421
P-9-J,2,P,9,J,23.16787153,49.7150583
P-17-A,1,P,17,A,88.30530708,40.53219525
Q-11-A,5,Q,11,A,76.5855917,41.87824195
Q-11-B,5,Q,11,B,,
Q-11-K,5,Q,11,K,62.39373796,44.39559883
R-18-B,3,R,18,B,,
S-1-A,1,S,1,A,81.50013088,33.82259049
S-1-E,3,S,1,E,67.84298693,37.63986552
S-1-H,3,S,1,H,65.72801215,38.80204455
S-1-K,2,S,1,K,59.41201635,45.437164
S-1-L,2,S,1,L,54.17974348,44.86322296
S-1-M,2,S,1,M,46.34684585,49.68012069
S-2-K,2,S,2,K,58.66028258,47.32362666
S-3-A,1,S,3,A,83.93284855,37.89664473
S-3-E,3,S,3,E,69.13688883,32.60099236
S-3-H,1,S,3,H,60.34978186,36.48838047
S-3-M,2,S,3,M,36.60359927,51.35906035
S-3-T,4,S,3,T,46.52777361,43.57252737
S-4-D,1,S,4,D,77.4990814,35.81589234
S-4-E,3,S,4,E,69.14996447,34.90601863
S-4-H,3,S,4,H,62.93466327,41.33630843
S-4-K,2,S,4,K,56.72854178,45.55756497
S-4-M,2,S,4,M,43.179548,50.75073188
S-4-P,4,S,4,P,55.62371395,21.84444913
S-4-T,4,S,4,T,40.13001612,41.927659
S-4-W,4,S,4,W,45.07523288,34.47158034
S-4-X,4,S,4,X,46.06994815,11.97487747
S-4-Y,4,S,4,Y,37.37865891,25.71959551
S-4-Z,4,S,4,Z,44.31525567,20.25232667
S-5-B,1,S,5,B,,
S-8-P,4,S,8,P,54.65441696,20.09061385
S-15-B,1,S,15,B,,
T-9-L,2,T,9,L,49.87933506,47.86408788
T-9-M,2,T,9,M,38.87177399,47.36336256
T-9-O,2,T,9,O,35.51311378,48.85472635
T-9-Q,2,T,9,Q,14.71465838,46.74516222
T-9-QA,2,T,9,QA,16.84295001,48.14328947
T-10-A,1,T,10,A,78.95162221,30.90330248
T-19-A,1,T,19,A,82.0367394,35.84229066
TB-9-AK,2,TB,9,AK,66.99004253,41.34780149
U-11-A,5,U,11,A,78.02741969,44.28014524
W-22-B,1,W,22,B,,
W-22-BV,6,W,22,BV,35.96677968,8.267578548
Y-5-A,1,Y,5,A,84.71485,34.20132559
Y-6-A,1,Y,6,A,86.5783863,36.13370041
Y-26-A,1,Y,26,A,80.34445601,38.45317845
