id,cluster,count,species,gear,area
B-5-B,4,129,B,5,B
B-6-B,1,2261,B,6,B
B-26-B,2,54,B,26,B
C-5-E,3,53,C,5,E
C-6-A,1,88,C,6,A
C-6-B,1,625,C,6,B
C-6-C,1,23,C,6,C
C-9-B,2,14,C,9,B
D-9-A,1,279,D,9,A
D-9-H,3,7,D,9,H
D-9-J,2,27,D,9,J
D-9-M,2,7,D,9,M
E-91-QV,7,13,E,91,QV
F-4-B,4,72,F,4,B
G-1-A,3,50,G,1,A
G-1-E,3,15,G,1,E
G-1-H,3,75,G,1,H
G-1-K,2,70,G,1,K
G-1-M,2,9,G,1,M
G-1-T,2,32,G,1,T
G-2-Z,1,6,G,2,Z
G-34-A,1,112,G,34,A
G-34-E,3,24,G,34,E
G-34-H,3,34,G,34,H
G-34-K,2,10,G,34,K
G-34-N,4,128,G,34,N
G-34-S,4,18,G,34,S
G-34-T,4,64,G,34,T
G-34-U,4,33,G,34,U
G-34-V,4,10,G,34,V
G-34-W,4,122,G,34,W
G-34-Y,4,55,G,34,Y
G-34-Z,4,26,G,34,Z
H-1-A,1,6,H,1,A
H-1-M,2,8,H,1,M
I-5-B,1,28,I,5,B
I-6-B,1,22,I,6,B
I-25-B,1,98,I,25,B
I-26-B,2,24,I,26,B
J-11-A,5,94,J,11,A
K-9-O,2,8,K,9,O
K-9-OA,2,4,K,9,OA
K-9-Q,2,8,K,9,Q
K-9-T,2,75,K,9,T
K-9-TA,2,12,K,9,TA
K-9-Z,4,57,K,9,Z
K-9-ZE,4,12,K,9,ZE
K-19-A,1,5,K,19,A
K-29-A,1,7,K,29,A
K-39-A,1,8,K,39,A
K-49-A,1,17,K,49,A
K-59-A,1,6,K,59,A
K-69-A,1,32,K,69,A
L-12-T,4,265,L,12,T
L-21-A,1,12,L,21,A
L-21-C,1,173,L,21,C
L-21-E,3,128,L,21,E
M-5-B,1,57,M,5,B
M-6-B,1,432,M,6,B
M-7-B,2,295,M,7,B
M-9-B,2,247,M,9,B
M-25-B,1,12,M,25,B
M-26-B,2,44,M,26,B
O-9-B,2,28,O,9,B
P-9-A,1,273,P,9,A
P-9-D,1,9,P,9,D
P-9-E,3,93,P,9,E
P-9-J,2,7,P,9,J
P-17-A,1,26,P,17,A
Q-11-A,5,32,Q,11,A
Q-11-B,5,7,Q,11,B
Q-11-K,5,25,Q,11,K
R-18-B,3,30,R,18,B
S-1-A,1,358,S,1,A
S-1-E,3,262,S,1,E
S-1-H,3,83,S,1,H
S-1-K,2,365,S,1,K
S-1-L,2,92,S,1,L
S-1-M,2,116,S,1,M
S-2-K,2,31,S,2,K
S-3-A,1,472,S,3,A
S-3-E,3,535,S,3,E
S-3-H,1,568,S,3,H
S-3-M,2,16,S,3,M
S-3-T,4,1844,S,3,T
S-4-D,1,167,S,4,D
S-4-E,3,29,S,4,E
S-4-H,3,698,S,4,H
S-4-K,2,176,S,4,K
S-4-M,2,114,S,4,M
S-4-P,4,57,S,4,P
S-4-T,4,953,S,4,T
S-4-W,4,737,S,4,W
S-4-X,4,159,S,4,X
S-4-Y,4,668,S,4,Y
S-4-Z,4,172,S,4,Z
S-5-B,1,138,S,5,B
S-8-P,4,112,S,8,P
S-15-B,1,961,S,15,B
T-9-L,2,2,T,9,L
T-9-M,2,49,T,9,M
T-9-O,2,2,T,9,O
T-9-Q,2,92,T,9,Q
T-9-QA,2,18,T,9,QA
T-10-A,1,34,T,10,A
T-19-A,1,24,T,19,A
TB-9-AK,2,175,TB,9,AK
U-11-A,5,68,U,11,A
W-22-B,1,7,W,22,B
W-22-BV,6,6,W,22,BV
Y-5-A,1,5,Y,5,A
Y-6-A,1,89,Y,6,A
Y-26-A,1,8,Y,26,A
